"event_id","llm_gate"
242,"IgD- IgMpos B cells"
243,"unassigned"
244,"Intermediate Monocytes"
245,"Non-Classical Monocytes"
246,"NK cells"
247,"unassigned"
248,"unassigned"
249,"unassigned"
250,"unassigned"
251,"unassigned"
252,"IgD- IgMpos B cells"
253,"IgM- IgD- B-cells"
254,"GMP"
255,"IgD- IgMpos B cells"
256,"unassigned"
257,"NKT cells"
258,"unassigned"
259,"unassigned"
260,"Classical Monocytes"
261,"Intermediate Monocytes"
262,"Eosinophils"
263,"Eosinophils"
264,"HSC"
265,"IgD- IgMpos B cells"
266,"MEP"
267,"IgD- IgMpos B cells"
268,"unassigned"
269,"unassigned"
270,"CD8 T cells"
271,"unassigned"
272,"MPP"
273,"Eosinophils"
274,"unassigned"
275,"unassigned"
276,"unassigned"
277,"Classical Monocytes"
278,"unassigned"
279,"unassigned"
280,"IgDpos IgMpos B cells"
281,"Non-Classical Monocytes"
282,"unassigned"
283,"unassigned"
284,"unassigned"
285,"unassigned"
286,"unassigned"
287,"Classical Monocytes"
288,"unassigned"
289,"unassigned"
290,"Macrophages"
291,"unassigned"
292,"IgD- IgMpos B cells"
293,"unassigned"
294,"unassigned"
295,"unassigned"
296,"IgDpos IgMpos B cells"
297,"mDCs"
298,"unassigned"
299,"IgM- IgD- B-cells"
300,"unassigned"
301,"NKT cells"
302,"IgDpos IgMpos B cells"
303,"unassigned"
304,"Non-Classical Monocytes"
305,"Eosinophils"
306,"IgM- IgD- B-cells"
307,"unassigned"
308,"Eosinophils"
309,"unassigned"
310,"IgD- IgMpos B cells"
311,"IgDpos IgMpos B cells"
312,"IgDpos IgMpos B cells"
313,"IgDpos IgMpos B cells"
314,"Classical Monocytes"
315,"unassigned"
316,"Eosinophils"
317,"Eosinophils"
318,"IgD- IgMpos B cells"
319,"Eosinophils"
320,"Classical Monocytes"
321,"unassigned"
322,"unassigned"
323,"Eosinophils"
324,"unassigned"
325,"IgDpos IgMpos B cells"
326,"unassigned"
327,"gd T cells"
328,"Intermediate Monocytes"
329,"IgDpos IgMpos B cells"
330,"IgDpos IgMpos B cells"
331,"Macrophages"
332,"MEP"
333,"Non-Classical Monocytes"
334,"Classical Monocytes"
335,"unassigned"
336,"IgM- IgD- B-cells"
337,"unassigned"
338,"IgDpos IgMpos B cells"
339,"unassigned"
340,"CD4 T cells"
341,"unassigned"
342,"Eosinophils"
343,"unassigned"
344,"unassigned"
345,"unassigned"
346,"MPP"
347,"Intermediate Monocytes"
348,"IgD- IgMpos B cells"
349,"unassigned"
350,"Classical Monocytes"
351,"unassigned"
352,"unassigned"
353,"IgDpos IgMpos B cells"
354,"IgD- IgMpos B cells"
355,"NKT cells"
356,"unassigned"
357,"IgM- IgD- B-cells"
358,"IgD- IgMpos B cells"
359,"unassigned"
360,"Classical Monocytes"
361,"IgDpos IgMpos B cells"
362,"unassigned"
363,"unassigned"
364,"Macrophages"
365,"unassigned"
366,"Classical Monocytes"
367,"Eosinophils"
368,"NKT cells"
369,"Non-Classical Monocytes"
370,"unassigned"
371,"Basophils"
372,"NK cells"
373,"Classical Monocytes"
374,"unassigned"
375,"CD4 T cells"
376,"unassigned"
377,"IgM- IgD- B-cells"
378,"unassigned"
379,"unassigned"
380,"unassigned"
381,"IgD- IgMpos B cells"
382,"unassigned"
383,"unassigned"
384,"NKT cells"
385,"unassigned"
386,"unassigned"
387,"unassigned"
388,"IgDpos IgMpos B cells"
389,"unassigned"
390,"unassigned"
391,"unassigned"
392,"IgDpos IgMpos B cells"
393,"IgDpos IgMpos B cells"
394,"IgDpos IgMpos B cells"
395,"unassigned"
396,"mDCs"
397,"Eosinophils"
398,"IgDpos IgMpos B cells"
399,"unassigned"
400,"IgDpos IgMpos B cells"
401,"unassigned"
402,"Intermediate Monocytes"
403,"Intermediate Monocytes"
404,"IgDpos IgMpos B cells"
405,"IgDpos IgMpos B cells"
406,"unassigned"
407,"mDCs"
408,"unassigned"
409,"Macrophages"
410,"unassigned"
411,"Intermediate Monocytes"
412,"unassigned"
413,"NK cells"
414,"Non-Classical Monocytes"
415,"unassigned"
416,"unassigned"
417,"mDCs"
418,"unassigned"
419,"unassigned"
420,"IgDpos IgMpos B cells"
421,"unassigned"
422,"Macrophages"
423,"unassigned"
424,"IgDpos IgMpos B cells"
425,"NKT cells"
426,"Basophils"
427,"IgM- IgD- B-cells"
428,"MPP"
429,"unassigned"
430,"unassigned"
431,"unassigned"
432,"unassigned"
433,"IgDpos IgMpos B cells"
434,"IgDpos IgMpos B cells"
435,"Classical Monocytes"
436,"IgDpos IgMpos B cells"
437,"unassigned"
438,"Eosinophils"
439,"Non-Classical Monocytes"
440,"Macrophages"
441,"Eosinophils"
442,"unassigned"
443,"MEP"
444,"unassigned"
445,"unassigned"
446,"Eosinophils"
447,"IgD- IgMpos B cells"
448,"Eosinophils"
449,"Classical Monocytes"
450,"IgD- IgMpos B cells"
451,"unassigned"
452,"IgDpos IgMpos B cells"
453,"unassigned"
454,"Classical Monocytes"
455,"unassigned"
456,"IgDpos IgMpos B cells"
457,"NKT cells"
458,"IgDpos IgMpos B cells"
459,"unassigned"
460,"MPP"
461,"IgD- IgMpos B cells"
462,"Non-Classical Monocytes"
463,"unassigned"
464,"unassigned"
465,"unassigned"
466,"unassigned"
467,"NKT cells"
468,"unassigned"
469,"unassigned"
470,"IgDpos IgMpos B cells"
471,"Basophils"
472,"Classical Monocytes"
473,"IgDpos IgMpos B cells"
474,"unassigned"
475,"MPP"
476,"unassigned"
477,"IgDpos IgMpos B cells"
478,"Macrophages"
479,"Classical Monocytes"
480,"unassigned"
481,"unassigned"
482,"unassigned"
483,"unassigned"
484,"unassigned"
485,"unassigned"
486,"Classical Monocytes"
487,"IgDpos IgMpos B cells"
488,"Classical Monocytes"
489,"unassigned"
490,"IgM- IgD- B-cells"
491,"unassigned"
492,"IgDpos IgMpos B cells"
493,"IgDpos IgMpos B cells"
494,"IgDpos IgMpos B cells"
495,"unassigned"
496,"IgD- IgMpos B cells"
497,"unassigned"
498,"unassigned"
499,"Eosinophils"
500,"unassigned"
501,"unassigned"
502,"IgM- IgD- B-cells"
503,"unassigned"
504,"IgDpos IgMpos B cells"
505,"IgDpos IgMpos B cells"
506,"Intermediate Monocytes"
507,"IgD- IgMpos B cells"
508,"IgDpos IgMpos B cells"
509,"unassigned"
510,"Non-Classical Monocytes"
511,"IgDpos IgMpos B cells"
512,"unassigned"
513,"Intermediate Monocytes"
514,"unassigned"
515,"Intermediate Monocytes"
516,"Eosinophils"
517,"unassigned"
518,"Intermediate Monocytes"
519,"unassigned"
520,"unassigned"
521,"MPP"
522,"unassigned"
523,"IgDpos IgMpos B cells"
524,"IgD- IgMpos B cells"
525,"Non-Classical Monocytes"
526,"unassigned"
527,"MEP"
528,"IgDpos IgMpos B cells"
529,"Classical Monocytes"
530,"IgDpos IgMpos B cells"
531,"IgDpos IgMpos B cells"
532,"unassigned"
533,"Classical Monocytes"
534,"unassigned"
535,"pDCs"
536,"NK cells"
537,"unassigned"
538,"unassigned"
539,"Intermediate Monocytes"
540,"unassigned"
541,"unassigned"
542,"unassigned"
543,"IgD- IgMpos B cells"
544,"unassigned"
545,"unassigned"
546,"unassigned"
547,"unassigned"
548,"Eosinophils"
549,"unassigned"
550,"unassigned"
551,"Classical Monocytes"
552,"unassigned"
553,"unassigned"
554,"unassigned"
555,"Classical Monocytes"
556,"Non-Classical Monocytes"
557,"unassigned"
558,"unassigned"
559,"unassigned"
560,"unassigned"
561,"unassigned"
562,"unassigned"
563,"unassigned"
564,"mDCs"
565,"IgDpos IgMpos B cells"
566,"unassigned"
567,"Intermediate Monocytes"
568,"NKT cells"
569,"unassigned"
570,"Intermediate Monocytes"
571,"Non-Classical Monocytes"
572,"unassigned"
573,"Intermediate Monocytes"
574,"IgDpos IgMpos B cells"
575,"unassigned"
576,"IgDpos IgMpos B cells"
577,"B-cell Frac A-C (pro-B cells)"
578,"unassigned"
579,"Non-Classical Monocytes"
580,"Classical Monocytes"
581,"unassigned"
582,"CD8 T cells"
583,"Classical Monocytes"
584,"unassigned"
585,"IgDpos IgMpos B cells"
586,"Eosinophils"
587,"Intermediate Monocytes"
588,"IgD- IgMpos B cells"
589,"unassigned"
590,"unassigned"
591,"unassigned"
592,"Non-Classical Monocytes"
593,"unassigned"
594,"CLP"
595,"unassigned"
596,"unassigned"
597,"IgD- IgMpos B cells"
598,"Non-Classical Monocytes"
599,"Classical Monocytes"
600,"unassigned"
601,"Eosinophils"
602,"unassigned"
603,"unassigned"
604,"Non-Classical Monocytes"
605,"unassigned"
606,"IgDpos IgMpos B cells"
607,"unassigned"
608,"unassigned"
609,"unassigned"
610,"unassigned"
611,"IgDpos IgMpos B cells"
612,"IgD- IgMpos B cells"
613,"unassigned"
614,"unassigned"
615,"CMP"
616,"IgD- IgMpos B cells"
617,"Eosinophils"
618,"unassigned"
619,"unassigned"
620,"IgDpos IgMpos B cells"
621,"Basophils"
622,"unassigned"
623,"Non-Classical Monocytes"
624,"mDCs"
625,"unassigned"
626,"IgD- IgMpos B cells"
627,"Intermediate Monocytes"
628,"unassigned"
629,"HSC"
630,"IgDpos IgMpos B cells"
631,"unassigned"
632,"unassigned"
633,"unassigned"
634,"unassigned"
635,"Eosinophils"
636,"IgM- IgD- B-cells"
637,"IgD- IgMpos B cells"
638,"CD8 T cells"
639,"unassigned"
640,"IgM- IgD- B-cells"
641,"unassigned"
642,"unassigned"
643,"unassigned"
644,"Classical Monocytes"
645,"Eosinophils"
646,"Classical Monocytes"
647,"unassigned"
648,"Non-Classical Monocytes"
649,"IgDpos IgMpos B cells"
650,"Classical Monocytes"
651,"unassigned"
652,"Intermediate Monocytes"
653,"unassigned"
654,"unassigned"
655,"IgD- IgMpos B cells"
656,"unassigned"
657,"IgDpos IgMpos B cells"
658,"IgD- IgMpos B cells"
659,"Intermediate Monocytes"
660,"unassigned"
661,"Intermediate Monocytes"
662,"unassigned"
663,"Macrophages"
664,"unassigned"
665,"Eosinophils"
666,"unassigned"
667,"unassigned"
668,"CD4 T cells"
669,"IgD- IgMpos B cells"
670,"unassigned"
671,"unassigned"
672,"Classical Monocytes"
673,"IgDpos IgMpos B cells"
674,"unassigned"
675,"Intermediate Monocytes"
676,"IgDpos IgMpos B cells"
677,"IgM- IgD- B-cells"
678,"IgDpos IgMpos B cells"
679,"IgDpos IgMpos B cells"
680,"unassigned"
681,"Non-Classical Monocytes"
682,"unassigned"
683,"Intermediate Monocytes"
684,"unassigned"
685,"unassigned"
686,"Intermediate Monocytes"
687,"unassigned"
688,"unassigned"
689,"unassigned"
690,"MPP"
691,"Intermediate Monocytes"
692,"Intermediate Monocytes"
693,"Macrophages"
694,"unassigned"
695,"unassigned"
696,"unassigned"
697,"unassigned"
698,"unassigned"
699,"unassigned"
700,"unassigned"
701,"Non-Classical Monocytes"
702,"Classical Monocytes"
703,"IgD- IgMpos B cells"
704,"IgDpos IgMpos B cells"
705,"IgM- IgD- B-cells"
706,"NKT cells"
707,"IgDpos IgMpos B cells"
708,"Classical Monocytes"
709,"Non-Classical Monocytes"
710,"unassigned"
711,"IgD- IgMpos B cells"
712,"unassigned"
713,"unassigned"
714,"unassigned"
715,"unassigned"
716,"unassigned"
717,"unassigned"
718,"IgDpos IgMpos B cells"
719,"unassigned"
720,"unassigned"
721,"unassigned"
722,"unassigned"
723,"unassigned"
724,"unassigned"
725,"unassigned"
726,"unassigned"
727,"IgD- IgMpos B cells"
728,"CD8 T cells"
729,"IgM- IgD- B-cells"
730,"unassigned"
731,"gd T cells"
732,"Intermediate Monocytes"
733,"IgM- IgD- B-cells"
734,"IgM- IgD- B-cells"
735,"unassigned"
736,"IgD- IgMpos B cells"
737,"Classical Monocytes"
738,"HSC"
739,"mDCs"
740,"IgDpos IgMpos B cells"
741,"unassigned"
742,"unassigned"
743,"IgM- IgD- B-cells"
744,"Non-Classical Monocytes"
745,"IgDpos IgMpos B cells"
746,"unassigned"
747,"mDCs"
748,"unassigned"
749,"IgDpos IgMpos B cells"
750,"unassigned"
751,"unassigned"
752,"unassigned"
753,"Eosinophils"
754,"unassigned"
755,"unassigned"
756,"unassigned"
757,"unassigned"
758,"IgM- IgD- B-cells"
759,"NK cells"
760,"unassigned"
761,"unassigned"
762,"NK cells"
763,"IgDpos IgMpos B cells"
764,"IgD- IgMpos B cells"
765,"IgM- IgD- B-cells"
766,"Plasma Cells"
767,"IgD- IgMpos B cells"
768,"unassigned"
769,"Intermediate Monocytes"
770,"unassigned"
771,"unassigned"
772,"Intermediate Monocytes"
773,"Macrophages"
774,"IgM- IgD- B-cells"
775,"Classical Monocytes"
776,"unassigned"
777,"Classical Monocytes"
778,"Intermediate Monocytes"
779,"IgM- IgD- B-cells"
780,"unassigned"
781,"unassigned"
782,"Non-Classical Monocytes"
783,"IgD- IgMpos B cells"
784,"unassigned"
785,"IgD- IgMpos B cells"
786,"unassigned"
787,"unassigned"
788,"unassigned"
789,"Eosinophils"
790,"unassigned"
791,"unassigned"
792,"IgDpos IgMpos B cells"
793,"Non-Classical Monocytes"
794,"IgM- IgD- B-cells"
795,"IgM- IgD- B-cells"
796,"unassigned"
797,"unassigned"
798,"Non-Classical Monocytes"
799,"unassigned"
800,"CMP"
801,"IgM- IgD- B-cells"
802,"IgD- IgMpos B cells"
803,"unassigned"
804,"IgD- IgMpos B cells"
805,"IgDpos IgMpos B cells"
806,"IgD- IgMpos B cells"
807,"unassigned"
808,"unassigned"
809,"NKT cells"
810,"NKT cells"
811,"unassigned"
812,"unassigned"
813,"unassigned"
814,"IgDpos IgMpos B cells"
815,"IgDpos IgMpos B cells"
816,"HSC"
817,"unassigned"
818,"IgM- IgD- B-cells"
819,"CMP"
820,"unassigned"
821,"Intermediate Monocytes"
822,"Intermediate Monocytes"
823,"unassigned"
824,"unassigned"
825,"unassigned"
826,"Non-Classical Monocytes"
827,"IgDpos IgMpos B cells"
828,"B-cell Frac A-C (pro-B cells)"
829,"Non-Classical Monocytes"
830,"Non-Classical Monocytes"
831,"IgD- IgMpos B cells"
832,"unassigned"
833,"IgM- IgD- B-cells"
834,"unassigned"
835,"IgDpos IgMpos B cells"
836,"unassigned"
837,"unassigned"
838,"unassigned"
839,"NKT cells"
840,"IgDpos IgMpos B cells"
841,"IgD- IgMpos B cells"
842,"Intermediate Monocytes"
843,"Intermediate Monocytes"
844,"unassigned"
845,"IgM- IgD- B-cells"
846,"Intermediate Monocytes"
847,"Classical Monocytes"
848,"unassigned"
849,"Eosinophils"
850,"unassigned"
851,"unassigned"
852,"IgDpos IgMpos B cells"
853,"unassigned"
854,"unassigned"
855,"IgDpos IgMpos B cells"
856,"unassigned"
857,"unassigned"
858,"Eosinophils"
859,"unassigned"
860,"unassigned"
861,"Intermediate Monocytes"
862,"unassigned"
863,"IgDpos IgMpos B cells"
864,"IgDpos IgMpos B cells"
865,"unassigned"
866,"unassigned"
867,"NK cells"
868,"HSC"
869,"unassigned"
870,"unassigned"
871,"unassigned"
872,"Eosinophils"
873,"unassigned"
874,"unassigned"
875,"IgM- IgD- B-cells"
876,"Non-Classical Monocytes"
877,"unassigned"
878,"IgD- IgMpos B cells"
879,"Non-Classical Monocytes"
880,"Intermediate Monocytes"
881,"mDCs"
882,"Non-Classical Monocytes"
883,"IgD- IgMpos B cells"
884,"unassigned"
885,"MPP"
886,"Non-Classical Monocytes"
887,"unassigned"
888,"unassigned"
889,"Non-Classical Monocytes"
890,"NKT cells"
891,"unassigned"
892,"unassigned"
893,"CMP"
894,"unassigned"
895,"Non-Classical Monocytes"
896,"Classical Monocytes"
897,"unassigned"
898,"IgDpos IgMpos B cells"
899,"IgDpos IgMpos B cells"
900,"unassigned"
901,"Intermediate Monocytes"
902,"IgD- IgMpos B cells"
903,"unassigned"
904,"unassigned"
905,"IgD- IgMpos B cells"
906,"MPP"
907,"IgDpos IgMpos B cells"
908,"Eosinophils"
909,"unassigned"
910,"IgDpos IgMpos B cells"
911,"unassigned"
912,"IgD- IgMpos B cells"
913,"unassigned"
914,"IgD- IgMpos B cells"
915,"Classical Monocytes"
916,"unassigned"
917,"unassigned"
918,"Eosinophils"
919,"unassigned"
920,"unassigned"
921,"unassigned"
922,"unassigned"
923,"unassigned"
924,"unassigned"
925,"Non-Classical Monocytes"
926,"Eosinophils"
927,"Classical Monocytes"
928,"unassigned"
929,"IgD- IgMpos B cells"
930,"Non-Classical Monocytes"
931,"unassigned"
932,"Non-Classical Monocytes"
933,"Non-Classical Monocytes"
934,"Eosinophils"
935,"IgDpos IgMpos B cells"
936,"IgD- IgMpos B cells"
937,"Intermediate Monocytes"
938,"Classical Monocytes"
939,"IgDpos IgMpos B cells"
940,"NKT cells"
941,"unassigned"
942,"Non-Classical Monocytes"
943,"Basophils"
944,"unassigned"
945,"unassigned"
946,"unassigned"
947,"Intermediate Monocytes"
948,"unassigned"
949,"Non-Classical Monocytes"
950,"Classical Monocytes"
951,"IgDpos IgMpos B cells"
952,"IgD- IgMpos B cells"
953,"IgM- IgD- B-cells"
954,"Classical Monocytes"
955,"IgM- IgD- B-cells"
956,"unassigned"
957,"unassigned"
958,"unassigned"
959,"IgM- IgD- B-cells"
960,"Classical Monocytes"
961,"IgD- IgMpos B cells"
962,"CD8 T cells"
963,"unassigned"
964,"unassigned"
965,"IgDpos IgMpos B cells"
966,"IgDpos IgMpos B cells"
967,"NKT cells"
968,"unassigned"
969,"unassigned"
970,"unassigned"
971,"unassigned"
972,"Eosinophils"
973,"IgDpos IgMpos B cells"
974,"unassigned"
975,"unassigned"
976,"unassigned"
977,"unassigned"
978,"Intermediate Monocytes"
979,"Eosinophils"
980,"Intermediate Monocytes"
981,"unassigned"
982,"unassigned"
983,"unassigned"
984,"Classical Monocytes"
985,"IgD- IgMpos B cells"
986,"IgDpos IgMpos B cells"
987,"Non-Classical Monocytes"
988,"Basophils"
989,"CMP"
990,"IgDpos IgMpos B cells"
991,"unassigned"
992,"unassigned"
993,"GMP"
994,"unassigned"
995,"IgD- IgMpos B cells"
996,"Intermediate Monocytes"
997,"GMP"
998,"unassigned"
999,"NKT cells"
1000,"unassigned"
1001,"unassigned"
1002,"IgDpos IgMpos B cells"
1003,"Eosinophils"
1004,"unassigned"
1005,"IgDpos IgMpos B cells"
1006,"IgM- IgD- B-cells"
1007,"unassigned"
1008,"unassigned"
1009,"unassigned"
1010,"Classical Monocytes"
1011,"IgDpos IgMpos B cells"
1012,"unassigned"
1013,"unassigned"
1014,"unassigned"
1015,"unassigned"
1016,"CD4 T cells"
1017,"IgDpos IgMpos B cells"
1018,"unassigned"
1019,"unassigned"
1020,"unassigned"
1021,"unassigned"
1022,"IgM- IgD- B-cells"
1023,"IgDpos IgMpos B cells"
1024,"Intermediate Monocytes"
1025,"unassigned"
1026,"unassigned"
1027,"Intermediate Monocytes"
1028,"unassigned"
1029,"unassigned"
1030,"IgD- IgMpos B cells"
1031,"IgM- IgD- B-cells"
1032,"unassigned"
1033,"unassigned"
1034,"unassigned"
1035,"Non-Classical Monocytes"
1036,"Classical Monocytes"
1037,"IgD- IgMpos B cells"
1038,"IgM- IgD- B-cells"
1039,"unassigned"
1040,"IgM- IgD- B-cells"
1041,"NKT cells"
1042,"unassigned"
1043,"unassigned"
1044,"unassigned"
1045,"IgDpos IgMpos B cells"
1046,"Eosinophils"
1047,"Intermediate Monocytes"
1048,"IgDpos IgMpos B cells"
1049,"unassigned"
1050,"unassigned"
1051,"unassigned"
1052,"Classical Monocytes"
1053,"NKT cells"
1054,"Non-Classical Monocytes"
1055,"CD8 T cells"
1056,"unassigned"
1057,"unassigned"
1058,"Intermediate Monocytes"
1059,"unassigned"
1060,"IgDpos IgMpos B cells"
1061,"IgM- IgD- B-cells"
1062,"Intermediate Monocytes"
1063,"Classical Monocytes"
1064,"Non-Classical Monocytes"
1065,"unassigned"
1066,"CD4 T cells"
1067,"CD8 T cells"
1068,"unassigned"
1069,"unassigned"
1070,"IgM- IgD- B-cells"
1071,"IgDpos IgMpos B cells"
1072,"unassigned"
1073,"IgD- IgMpos B cells"
1074,"unassigned"
1075,"unassigned"
1076,"Non-Classical Monocytes"
1077,"unassigned"
1078,"Non-Classical Monocytes"
1079,"unassigned"
1080,"Basophils"
1081,"IgM- IgD- B-cells"
1082,"Non-Classical Monocytes"
1083,"mDCs"
1084,"IgDpos IgMpos B cells"
1085,"MEP"
1086,"unassigned"
1087,"unassigned"
1088,"unassigned"
1089,"unassigned"
1090,"unassigned"
1091,"unassigned"
1092,"unassigned"
1093,"CD8 T cells"
1094,"Eosinophils"
1095,"IgD- IgMpos B cells"
1096,"unassigned"
1097,"unassigned"
1098,"unassigned"
1099,"unassigned"
1100,"CLP"
1101,"unassigned"
1102,"unassigned"
1103,"IgDpos IgMpos B cells"
1104,"Intermediate Monocytes"
1105,"Intermediate Monocytes"
1106,"IgDpos IgMpos B cells"
1107,"Intermediate Monocytes"
1108,"unassigned"
1109,"unassigned"
1110,"unassigned"
1111,"IgDpos IgMpos B cells"
1112,"unassigned"
1113,"Basophils"
1114,"unassigned"
1115,"unassigned"
1116,"Intermediate Monocytes"
1117,"Intermediate Monocytes"
1118,"unassigned"
1119,"Non-Classical Monocytes"
1120,"IgM- IgD- B-cells"
1121,"unassigned"
1122,"unassigned"
1123,"MPP"
1124,"unassigned"
1125,"Classical Monocytes"
1126,"IgDpos IgMpos B cells"
1127,"Intermediate Monocytes"
1128,"unassigned"
1129,"unassigned"
1130,"unassigned"
1131,"NK cells"
1132,"IgDpos IgMpos B cells"
1133,"unassigned"
1134,"MPP"
1135,"IgD- IgMpos B cells"
1136,"NKT cells"
1137,"unassigned"
1138,"HSC"
1139,"Non-Classical Monocytes"
1140,"unassigned"
1141,"unassigned"
1142,"IgDpos IgMpos B cells"
1143,"unassigned"
1144,"unassigned"
1145,"IgDpos IgMpos B cells"
1146,"Intermediate Monocytes"
1147,"IgD- IgMpos B cells"
1148,"Macrophages"
1149,"unassigned"
1150,"unassigned"
1151,"IgM- IgD- B-cells"
1152,"unassigned"
1153,"unassigned"
1154,"Classical Monocytes"
1155,"gd T cells"
1156,"CD4 T cells"
1157,"unassigned"
1158,"unassigned"
